sale_price,sq_ft,acreage
700000,4354,2.99
647500,4361,0.59
360000,4375,0.33
910700,4385,0.49
385000,4412,0.22
680000,4414,0.43
693300,4483,0.39
633000,4484,0.37
490000,4541,0.28
814400,4639,0.34
565000,4657,0.84
645000,4725,0.65
879900,4771,0.36
975000,4808,0.74
599900,4819,1.42
535000,4819,1.42
720000,5018,0.51
670000,5032,0.6
745000,5038,0.6
657300,5179,0.74
890000,5499,0.65
940000,6011,0.36
850000,6064,0.64
