Date,Open,High,Low,Close,Adj Close,Volume
9/17/2019,81.489998,84.82,79.529999,84.639999,84.639999,2539900
9/18/2019,84.400002,86,83.5,84.550003,84.550003,1835400
9/19/2019,85.199997,85.349998,83.25,84.620003,84.620003,1266600
9/20/2019,85,85.349998,81.5,82.629997,82.629997,2050100
9/23/2019,82.290001,83.599998,81.800003,82.620003,82.620003,677000
9/24/2019,82.43,82.93,79.459999,80.019997,80.019997,2145400
9/25/2019,79.120003,79.989998,76.080002,79.599998,79.599998,1924100
9/26/2019,79.25,80.620003,78.614998,79.75,79.75,920000
9/27/2019,79.690002,79.824997,75.089996,76.040001,76.040001,2347400
9/30/2019,76.129997,77,74.290001,76.199997,76.199997,1356500
10/1/2019,76.43,77.489998,75.209999,75.809998,75.809998,1378100
10/2/2019,74.5,75.779999,73.660004,73.849998,73.849998,1388700
10/3/2019,73.900002,78.489998,73.389999,76.830002,76.830002,2605800
10/4/2019,77,77.782997,75.279999,76.529999,76.529999,1799500
10/7/2019,76.989998,77.43,75,76.989998,76.989998,1432200
10/8/2019,76.010002,76.353996,72.580002,73.589996,73.589996,3156600
10/9/2019,74.220001,75.059998,72.75,72.860001,72.860001,1490100
10/10/2019,72.860001,73.779999,71.010002,71.010002,71.010002,2282200
10/11/2019,71.370003,72.889999,70.902,71.349998,71.349998,2391800
10/14/2019,70.459999,71.239998,69.550003,70.800003,70.800003,2218100
10/15/2019,68.760002,71.269997,68.379997,71.110001,71.110001,10576600
10/16/2019,69.699997,69.949997,66.510002,67.690002,67.690002,6061400
10/17/2019,67.089996,68,66.760002,67.029999,67.029999,3496800
10/18/2019,66.260002,66.93,64.529999,66.080002,66.080002,4819400
10/21/2019,65.290001,66.5,64.157997,65.769997,65.769997,3076500
10/22/2019,64.199997,64.599998,61.02,62,62,4584700
10/23/2019,61.330002,63.740002,60.967999,62.060001,62.060001,3589200
10/24/2019,63,65.940002,62.759998,64.519997,64.519997,3433300
10/25/2019,64.330002,64.989998,62.790001,63.450001,63.450001,1921900
10/28/2019,63.959999,67.470001,62.259998,66.559998,66.559998,3509300
10/29/2019,65.769997,67.110001,64.800003,65.489998,65.489998,1825300
10/30/2019,65.970001,70.089996,65.660004,70,70,4670300
10/31/2019,69.519997,70.080002,66.599998,69.889999,69.889999,3405300
11/1/2019,69.860001,70.550003,68.019997,70.389999,70.389999,3561800
11/4/2019,70.809998,70.849998,69.010002,70.120003,70.120003,1563100
11/5/2019,70.709999,70.849998,66.68,66.889999,66.889999,1805900
