sale_price,sq_ft,acreage
334400,2506,0.16
215000,2508,0.2
372000,2509,0.14
430000,2513,0.66
400000,2514,0.27
370000,2514,0.29
375000,2515,0.18
337500,2526,0.19
407600,2532,0.19
361400,2533,0.11
320000,2534,0.16
297000,2537,0.24
340000,2539,0.22
330000,2542,0.13
288600,2543,0.14
297500,2543,0.41
350000,2546,0.13
305000,2546,0.13
312000,2547,0.09
364000,2548,0.33
325000,2551,0.21
370000,2551,0.34
371000,2552,0.26
333000,2556,0.13
377500,2557,0.35
264000,2558,0.09
290000,2558,0.21
312000,2560,0.28
395000,2561,0.19
342000,2561,0.19
320000,2565,0.17
310000,2565,0.19
300000,2569,0.1
280000,2575,0.22
285000,2578,0.21
325000,2582,0.45
342500,2591,0.22
331500,2593,0.14
412400,2595,0.15
427500,2600,0.18
353800,2601,0.15
345000,2601,0.17
374000,2608,0.25
307500,2611,0.09
349400,2612,0.13
265900,2612,0.13
260000,2612,0.13
255700,2612,0.13
491400,2612,0.28
335500,2614,0.1
256200,2614,0.13
372700,2615,0.11
335000,2617,0.1
360500,2617,0.19
409800,2620,0.21
412500,2621,0.17
279600,2624,0.24
321500,2626,0.21
382900,2627,0.21
334100,2628,0.11
459000,2628,0.51
425000,2630,0.14
299600,2631,0.21
310000,2632,0.2
363500,2632,0.21
266500,2633,0.13
268100,2633,0.13
266500,2635,0.13
262300,2635,0.13
420000,2635,0.21
300000,2636,0.35
359500,2640,0.16
369000,2640,0.16
395000,2640,0.16
467100,2640,0.21
293043,2640,0.22
406100,2641,0.21
445000,2641,0.24
337500,2645,0.15
306700,2645,0.15
438300,2647,0.18
330000,2649,0.13
423400,2650,0.18
306600,2653,0.21
325000,2656,0.15
358500,2656,0.16
295700,2657,0.34
345000,2658,0.17
335900,2658,0.21
352900,2660,0.19
249900,2672,0.28
299000,2673,0.11
360000,2675,0.21
329900,2676,0.14
399500,2677,0.39
321400,2678,0.19
360000,2680,0.37
288500,2683,0.26
308800,2684,0.13
439200,2685,0.21
349900,2686,0.14
304900,2688,0.15
425000,2689,0.33
330900,2693,0.26
298000,2697,0.22
332000,2700,0.14
335000,2700,0.21
315000,2700,0.21
319000,2701,0.21
325000,2702,0.86
315700,2708,0.14
311800,2712,0.15
298000,2714,0.26
405000,2722,0.33
303000,2722,0.33
