sale_price,sq_ft,acreage
675000,3569,0.3
312000,2312,0.1
335000,2379,0.16
283300,2332,0.17
505100,3152,0.23
369000,2711,0.27
100600,1652,0.11
450000,2906,0.31
612500,2969,0.31
325000,2315,0.15
308800,1905,0.13
330000,2621,0.18
465000,3203,0.34
345000,2262,0.41
267500,1805,0.15
390700,2629,0.17
420500,2640,0.22
419000,2975,0.23
515000,3157,0.25
505000,2937,0.27
850500,3903,0.45
268000,2067,0.15
315000,2347,0.16
407800,2640,0.24
333714,1921,0.14
379900,2787,0.15
476900,3596,0.22
667500,5127,0.36
464000,3291,0.51
268000,2025,0.2
46100,2732,0.29
320000,2617,0.1
238000,1678,0.13
333000,2409,0.1
215000,1319,0.11
400000,2993,0.36
225000,1536,0.11
450000,3212,0.34
600000,4193,0.5
220000,1648,0.17
385000,2595,0.11
380000,2932,0.13
260000,1836,0.14
460000,3350,0.15
499900,2478,0.29
419000,2327,0.4
650000,3975,0.47
405000,3610,0.55
343300,1905,0.14
404600,2670,0.17
737500,4154,0.22
390000,2862,0.3
574000,3775,0.23
701000,3939,0.27
302000,3236,0.25
470000,3334,0.26
590000,3721,0.3
685000,4081,0.35
529000,3493,0.52
75800,2557,0.22
318000,2218,0.14
280000,2057,0.17
330000,2606,0.21
342900,1905,0.14
450000,3383,0.19
355000,2281,0.27
495000,3453,0.31
940000,6011,0.36
676500,4146,0.51
945000,6376,0.81
371600,2640,0.16
470000,3069,0.2
311800,1905,0.14
330000,2569,0.24
383000,2758,0.14
327500,2281,0.25
369900,2880,0.11
307000,2006,0.17
190000,1558,0.11
385000,2666,0.17
275000,1782,0.18
383000,2699,0.23
865000,5563,0.52
565000,3598,0.54
406100,2213,0.16
521500,4356,0.43
317000,2229,0.15
492500,3578,0.22
459000,2628,0.51
231000,1720,0.14
364900,2545,0.17
320000,2367,0.33
415000,2715,0.35
625000,4307,0.6
335000,2385,0.13
275000,1957,0.15
399000,2987,0.15
789000,4905,0.34
307000,2210,0.21
214600,3090,0.19
485000,2907,0.27
331000,2469,0.34
172000,1462,0.11
355000,2935,0.1
503700,3517,0.25
280000,2226,0.18
328000,2226,0.18
363000,1879,0.2
434900,3041,0.15
325000,2639,0.18
600000,3455,0.34
384800,2048,0.16
510000,3237,0.51
329000,2375,0.11
425000,3256,0.22
255000,1610,0.16
419900,2938,0.19
493500,4201,0.51
414000,3033,0.46
392500,2833,0.15
480000,3062,0.16
300000,1991,0.24
455000,3397,0.61
357000,3105,0.5
373000,2952,0.13
371500,1970,0.23
320000,2376,0.1
330000,2547,0.23
260000,2194,0.16
550500,3594,0.28
285000,2573,0.1
310000,2268,0.1
635500,3380,0.91
343300,2046,0.14
275000,2360,0.15
325000,2551,0.15
406100,2616,0.15
344900,2315,0.19
370000,2870,0.21
350000,2732,0.14
344000,2615,0.18
297500,2064,0.1
